【Right Page】
　　Right same, Hatsuru Port,　　　　　Ōmura Kyūbei
　　Right same, Tsuyazaki Watari Village,　　Hagi [possibly Ogi] Chūsuke
　　Right same, Wakita Waki Port,　　　Ochi Shinsaku
　　Right same, Nakahara Village,　　　Hyō [possibly Konomi] Manbei
　　Festival ritual special officer, Koishi Village,　　Arita Riemon
　　Right same, Fukuma,　　　　　　Urata Yoshichi
　　Right same, Shingū Kuwata,　　　Saitō Magoshirō
　　Festival ritual special officer, pursuit [patrol],　　Yasukawa Tarōbei
　　Right same　　　　　　　　　Kishihara Ichidayū
　　Right same　　　　　　　　　Akashi Hyōsuke

【Left Page】
　　Right same　　　　　　　　　Hirai Risuke
　　Mid-class boat captain　　　　Yoshida Hachidayū
　　Right same　　　　　　　　　Oda Yojidayū
　　Small boat captain　　　　　　Fukuda Kinbei
　　Right same　　　　　　　　　Yoshida Yasaemon
　　Right same　　　　　　　　　Kawashimo Kanpei
　　Right same　　　　　　　　　Ōno Yoheiji
　　Right same　　　　　　　　　Kotō Gihei
　　Right same　　　　　　　　　Nakayama Hanhachi
　　Right same　　　　　　　　　Okiayu Kizaemon
